Designator,Mid X,Mid Y,Layer,Rotation
,,,,
U4,2755.905mil,984.252mil,T,45
U3,11146.654mil,1005mil,T,90
U1,4364.37mil,1535.591mil,T,0
T13,14212.598mil,390mil,T,90
T12,14810mil,154.764mil,T,180
T11,1023.622mil,400mil,T,90
T10,1630mil,169.764mil,T,180
T9,14212.598mil,1570mil,T,90
T8,14810mil,1810.236mil,T,0
T7,1023.622mil,1570mil,T,90
T6,1630mil,1820.236mil,T,0
T1,8003.307mil,1856.201mil,T,360
S4,4015mil,720mil,T,0
S3,11325mil,151.22mil,T,180
S2,4715mil,720mil,T,0
S1,4365mil,720mil,T,0
R38,5480mil,705.433mil,T,90
R37,5600mil,705.433mil,T,90
R36,5360mil,705.433mil,T,90
R35,2735mil,180.433mil,T,90
R34,2615mil,179.567mil,T,270
R33,2855mil,180.433mil,T,270
R32,2975mil,180.433mil,T,270
R31,2455mil,1524.567mil,T,270
R30,2580mil,1674.567mil,T,270
R29,6543.937mil,1275mil,T,90
R28,6470mil,556.063mil,T,360
R27,6418.937mil,1275mil,T,90
R26,6335mil,686.063mil,T,360
R24,14479.567mil,95mil,T,180
R23,14480.433mil,215mil,T,0
R22,1279.567mil,105mil,T,180
R21,1280.433mil,225mil,T,0
R20,14479.567mil,1870mil,T,180
R19,14480.433mil,1750mil,T,0
R18,1279.567mil,1870mil,T,180
R17,1280.433mil,1750mil,T,0
R11,14380.433mil,984.252mil,T,0
R10,1177.165mil,984.252mil,T,0
R8,1704.567mil,1080mil,T,180
R7,1704.567mil,895mil,T,180
R6,11442.52mil,885mil,T,180
R5,13464.567mil,984.252mil,T,180
R4,4675mil,299.567mil,T,90
R3,3755mil,300.433mil,T,90
R2,4190mil,299.567mil,T,270
R1,7990mil,1650.433mil,T,90
O1,5474.016mil,900mil,T,360
J8,5495mil,242.953mil,T,0
J7,115.276mil,980mil,T,90
J3,11620mil,140.63mil,T,270
IR6,14177.165mil,145mil,T,90
IR5,988.189mil,157.48mil,T,90
IR4,14177.165mil,1811.024mil,T,90
IR3,988.189mil,1811.024mil,T,90
I1,12740mil,1000mil,T,90
H17,5137.52mil,204.331mil,T,270
H16,6943.465mil,1010mil,T,90
D15,5250mil,709.528mil,T,90
D11,14173.228mil,984.252mil,T,90
D10,984.252mil,984.252mil,T,90
D8,1910mil,1080mil,T,0
D7,1910mil,895mil,T,0
D6,12748.386mil,370mil,T,180
D5,12745.394mil,1600mil,T,360
D4,13282.087mil,984.252mil,T,0
D3,4005mil,395.63mil,T,180
D2,4005mil,209.37mil,T,360
D1,8140mil,1705.315mil,T,90
C17,5720mil,705.433mil,T,90
C16,2370mil,180.433mil,T,90
C15,2490mil,180.433mil,T,270
C14,6300mil,1275mil,T,90
C12,11442.52mil,1005mil,T,360
C11,11442.52mil,1125mil,T,360
C9,12240mil,1520mil,T,270
C8,12730.433mil,1450mil,T,0
C7,12240mil,485mil,T,90
C6,12725.433mil,555mil,T,360
C5,4315mil,299.567mil,T,270
C4,4435mil,299.567mil,T,90
C3,4795mil,299.567mil,T,90
C2,4915mil,299.567mil,T,90
C1,4555mil,299.567mil,T,90
B2,6420mil,1020mil,T,360
B1,8366.417mil,1735.63mil,T,90
U2,12088.041mil,998.858mil,T,360
SM1,6019.685mil,984.252mil,T,90
